#yr,mo,dy,hr,mn,degT,m/s,m/s,m,sec,sec,deg,T   hPa,degC,degC,degC,mi,ft
2020,1,1,21,40,252,3.3,5.8,1.92,21.05,7.98,273,1015.6,15.5,15.3,12.4,99,99
2020,1,1,21,50,257,4.4,6.1,99,99,99,999,1015.4,15.4,15.3,11.3,99,99
2020,1,1,22,0,253,4,5.4,99,99,99,999,1015,15.5,15.3,10.7,99,99
2020,1,1,22,10,248,4.2,5.4,99,99,99,999,1015,15.5,15.4,11.4,99,99
2020,1,1,22,20,252,4,5.1,99,99,99,999,1014.9,15.4,15.3,12.5,99,99
2020,1,1,22,30,284,4.5,7.6,99,99,99,999,1014.8,15.9,15.3,12.2,99,99
2020,1,1,22,40,309,3.4,6.3,1.89,21.05,8.17,222,1014.5,16.7,15.4,12.5,99,99
2020,1,1,22,50,278,5.7,7.1,99,99,99,999,1014.3,17,15.4,12.4,99,99
2020,1,1,23,0,272,5.4,7.8,99,99,99,999,1014.3,17.2,15.4,12.4,99,99
2020,1,1,23,10,280,7.1,9.3,99,99,99,999,1014,17.5,15.4,12.3,99,99
2020,1,1,23,20,277,7.7,9.8,99,99,99,999,1014,17.6,15.4,12.1,99,99
2020,1,1,23,30,275,8.5 1,0.9,99,99,99,999,1014,17.6,15.4,12.2,99,99
2020,1,1,23,40,273,7.4,9.4,2,21.05,6.95,143,1013.8,17.5,15.3,12.7,99,99
2020,1,1,23,50,276,5.6,8.2,99,99,99,999,1013.6,17.7,15.4,12.9,99,99
2020,1,2,0,0,309,4.6,6.8,99,99,99,999,1014,18,15.4,13.2,99,99
2020,1,2,0,10,331,3.2,5.3,99,99,99,999,1013.7,18.3,15.4,12.2,99,99
2020,1,2,0,20,313,3.2,6.8,99,99,99,999,1013.6,18.2,15.4,12.5,99,99
2020,1,2,0,30,280,7.1 1,0.1,99,99,99,999,1013.7,18.1,15.4,12.6,99,99
2020,1,2,0,40,281,8.9 1,1.8,2.09,21.05,6.54,281,1013.7,17.8,15.4,12.6,99,99
2020,1,2,0,50,283 1,0.3 1,3.6,99,99,99,999,1013.7,17.4,15.4,12.8,99,99
2020,1,2,1,0,284,9.3 1,1.8,99,99,99,999,1013.6,17.1,999,13,99,99
2020,1,2,1,10,282,8.9 1,1.1,99,99,99,999,1013.7,17.1,15.3,13.1,99,99
2020,1,2,1,20,280,9.0 1,1.2,99,99,99,999,1013.6,16.9,15.3,13.2,99,99
2020,1,2,1,30,282,7.9,9.8,99,99,99,999,1013.7,16.9,15.2,13.2,99,99
